class,texto_llm,prediccion,prob_anorexia
anorexia,a ver cuando se empiezan con las de anorexia y bulimia. es demasiado fÃ¡cil acceder a ellas.,anorexia,0.95
control,"Â¡7 dÃ­as, 7 razones para entrenar! llegamos al domingo y Â¡wow, se acabÃ³ la semana! porque ningÃºn cirujano esculpirÃ¡ tu cuerpo de la misma forma que lo harÃ¡ el binomio nutriciciÃ³n entrenamiento nutricion entrenamiento postureo fuerza introstraining exito28madrid",control,0.0010000000000000009
anorexia,como bajar peso comiendo sin parar. tips,control,0.050000000000000044
anorexia,"no importa si ese platillo luce bien,delicioso,rico.eso tiene muchÃ­simas calorÃ­as. nodebescomer nomasgorda motivation",anorexia,0.95
control,por supuesto el polo es de fruta y casero mÃ¡s frases patatar sano hay que cuidarse pera dÃ³nde vas sin comer sano pasas pasas totalmente de lo insano maÃ­z convencio de cer sano un poco de humor para hacerlo todo mejor. come,control,0.050000000000000044
anorexia,odio comer como una cerda por ansiedad hoy he comido patatas fritas de bolsa porque no tenÃ­a tabaco... Â¡fuck!,anorexia,0.95
control,"empieza la semana con mayor energia y concentracion con el super c4 el preworkout mÃ¡s vendido en usa energÃ­a explosiva, mayor concentraciÃ³n y un impulso abrumador de enfrentar cualquier desafÃ­o bodysculpting cellucor c4 preworkout boutique lunes felizsemana",control,0.050000000000000044
anorexia,no le decimos porque creamos que son personas sino porque simplemente odiamos la palabra anorexia y bulimia,control,0.050000000000000044
control,"nada, nada! hay que dar bocados a la vaca viva eso si es",control,0.050000000000000044
anorexia,"y encima que no es delito? vergonzoso. tiendas con misma talla y una mas pequeÃ±a que otra, no se que futuro nos espera diariode",control,0.050000000000000044
control,a fuego lento mÃ­nimo tienes que ponerlo un par de horitas pa sacarle todo el jugo. las abuelas muchas veces reciclan la carne para hacer un potaje de acelgas o de judias con calabazas con parte del caldo. esto es y lo demÃ¡s son tonterÃ­as.,control,0.050000000000000044
control,"denuncia estas pÃ¡gs, denuncia las empresas que las mantienen la pesadilla anorexia bulimia",anorexia,0.95
control,"jamas entendere a las personas que llegan a extremos con tal de encajar en la moda, en especial las de",control,0.050000000000000044
control,"que bien te ves cuando te das cuenta, que lo Ãºnico que necesitas para brillar es confiar en ti. photographer photography instapic instagramers workout lifestyle en mexico",control,0.050000000000000044
anorexia,carajo despuÃ©s de este fin de semana que tuve me tocara ayunar el resto de mi vida. rexybill,anorexia,0.95
anorexia,"hace mes tenÃ­a que pedirle ayuda a mis compaÃ±eras para que me suban el cierre de la pollera de danza, ahora me la subo sin ningÃºn problema esfuerzoyresultado",anorexia,0.95
control,lenguado a la naranja ideasdenutricion lenguado naranja cuidatesiempre cocinitas,control,0.050000000000000044
control,"vamos poco a poco, como dice el dicho para atras ni para coger impulso siempre adelante vamos por mÃ¡s! . . sexy love model follow healthy like fashion beautiful cute",control,0.050000000000000044
anorexia,Â¿por quÃ© nos cuesta tanto aceptar nuestro cuerpo y encontrar la belleza que hay en Ã©l? anorexia dietas,anorexia,0.95
anorexia,"te hacen estar en huelga de hambre hasta ser perfecta. pero tener hambre, cortarte y estar triste no es perfecciÃ³n.",anorexia,0.95
anorexia,se que pronto podrÃ© ser una muÃ±equita de porcelana anaymialifestyle anaymiaforeverfriends anaymiaarequeen anaymiaporsiempre anaymiatips thinsp0 collarbones thighgaps,anorexia,0.95
anorexia,ellas son tan perfectas! thinspo thinspiration thighgap,anorexia,0.95
anorexia,una de la maÃ±ana con laxantes....!!! malditagordura perfecciÃ³n,anorexia,0.95
control,la realidad es la que es...,control,0.050000000000000044
anorexia,yo para no contar calorias no como nada,anorexia,0.95
anorexia,1er dÃ­a desayuno una manzana almuerzo 12 litro de agua. cena 1 litro de agua skinny intentodeayuno,anorexia,0.95
anorexia,"hoy me atasco, maÃ±ana le bajÃ³, y asÃ­ poco a poco hasta no comer nada pero me quedo en el hoy me atasco y asÃ­ todos los dÃ­as",anorexia,0.95
control,"pez espada y tomate aliÃ±ado despuÃ©s de una intensa maÃ±ana de consultas. omega 3, ven a mi! eleccionesandaluzas nutriciÃ³n natural salud saludybienestar",control,0.050000000000000044
control,Â¿te interesa la cocina? Â¿y sobre todo comer sano? alimentacion healthy cocina nutricion,control,0.050000000000000044
control,la acumulaciÃ³n de pequeÃ±os pasos se convierten en pasos grandes. motivaciÃ³n actitud,control,0.050000000000000044
anorexia,"ok un dÃ­a lleno de ejercicio y pocas calorÃ­as, un dÃ­a productivo. proana promia soy coldprince",anorexia,0.95
control,me reto yo mismo y lo hago publico para no fallar y si fallÃ³ me castigan con un challenge jijiji voy a mi retofit retofitness yopuedo entrenamiebto santodomingo,control,0.050000000000000044
control,algo anda mal aquÃ­? josepika vidasanayactiva,anorexia,0.95
control,"abastero corte de vacuno chileno al horno en cocciÃ³n lenta por 4 hrs. acompaÃ±a pimiento y cebolla asadas en el mismo horno. perdÃ³n, pero no hubo luz en el sector, asÃ­ que la mayonesa es de fabrica lowcarbchile lowcarb keto lchf lchp",control,0.050000000000000044
anorexia,ya se estan empezando a notar mis claviculas3 imnotmissperfection breathme,anorexia,0.85
control,y lo que me pregunto es cÃ³mo se puede permitir que estÃ©n activas este tipo de cuentas???? me avisa y me ofrece ayuda cuando introduzco pero no hay denuncias ni censura como cuando sale un simple pezÃ³n de mujer en una foto,anorexia,0.85
anorexia,dios bendiga los gimnasios. anorexia bulimia,anorexia,0.95
control,te deseo una semana tan vibrante como los colores de mi sofrito comerenvenezuela conloquesepuedecomprar sofrito comidavenezolana bajardepeso healthyfood obesidad sop cocinaparanovatas lunes elmundocambiasitucambias,control,0.050000000000000044
anorexia,"Ã¡mate, eres preciosa. mucho Ã¡nimo, juntaspodemos",control,0.050000000000000044
control,combina verduras y presenta de una forma original. deleita a tu familia con estos pimientos rellenos de purÃ© de papa cocinafacil comersano healthyfood foodporn food foodie foodgasm cdmx mexico elhornodelucas lovecooking instafood,control,0.050000000000000044
control,tacos de espÃ¡rragos y champiÃ±ones soyporsiempresana heresmyfood ing barcelona barcelonicious mexicanaenbarcelona healthychoices habitossaludables,control,0.050000000000000044
anorexia,voy bien supongo anorexia ana,anorexia,0.95
anorexia,puede que me haya quitado unos 15 kg de encima pero sigo estando gorda ya queda menos para llegar a la meta... gracias!,anorexia,0.95
control,"ahora, ponerte en forma en casa es mucho mÃ¡s barato gracias a nuestros precios de escÃ¡ndalo en maquinaria . entra en nuestra web y descubre nuestros descuentos",control,0.0010000000000000009
anorexia,querÃ­an lucir perfectas en su bikini y perdieron el control... testimonios anorexia bulimia,anorexia,0.95
anorexia,"volver a ser como antes, esa chica flaquita de 40k y muy feliz. odio ser como soy ahora una gorda de 67k infeliiiz vuelvan a mi",anorexia,0.95
control,las seÃ±ales que pueden ayudarte a identificar la bulimia mia trastornoalimentario atracones vÃ³mitos,anorexia,0.95
control,una tarta 100 . asÃ­ estrenamos nuestro recetario digital. Â¡bienvenidos a la web de las recetas saludables! lacocinasana,control,0.050000000000000044
anorexia,queriendo llegar al peso ideal...!!!,anorexia,0.95
anorexia,estoy a favor de la anorexia y la bulimia ya que cumple muchos sueÃ±os aunque con el tiempo el costo sea demasiado caro.,anorexia,0.95
anorexia,nuestra idola mi ejemplo ! si bien ella no me iniciÃ³ es mi hermana porque tambiÃ©n lo padeciÃ³ ! esto es ser nosotras,anorexia,0.95
anorexia,"prinzzz que se respeta no come cerdo jamÃ¡s porque serÃ­a canivalismo y eso esta prohibido y, a demÃ¡s, engorda. tsssea. anorexia",anorexia,0.95
control,Â¿cuÃ¡l de estas cosas es mÃ¡s real food? ing paleo,control,0.050000000000000044
anorexia,nunca se es lo suficientemente delgado. thispiration skinny,anorexia,0.95
anorexia,y ahora me acuerdo de cuÃ¡ndo la bÃ¡scula era mi eneamiga mÃ¡s fiel anorexia thinspo,anorexia,0.95
anorexia,por que no te mueres mejor maldita cerda asquerosa...... mierdadepersona,anorexia,0.95
control,5 consejos fÃ¡ciles para comenzar a hacer ejercicio. gimnasio gym tonificar perderpeso dieta,control,0.050000000000000044
anorexia,"si querÃ©is adelgazar haced ejercicio y tomad comida baja en grasas, no vomiteis. tardarÃ©is un poco mas, pero es por salud",control,0.050000000000000044
anorexia,"no es hambre, son aplausos del estÃ³mago...",anorexia,0.95
control,con mÃ¡s sed que hambre con este calor pero hay que nutrirse lowcardiet alimentacionsaludable comidadehumanos,control,0.050000000000000044
control,"lo Ãºnico imposible , es aquello que no intentas. feliz viernes para todos!!! . . atlantestc entrenamiento mitosdelgym enfoque chacaito diciplina sueÃ±os logros esfuerzo gym",control,0.0010000000000000009
anorexia,"lo Ãºnico que comerÃ© en el dÃ­a , cuando te alegra que ya no te alegra comer",anorexia,0.95
anorexia,no sÃ© quiÃ©n me va a envidiar cuando tenga que rodar para ir a vomitar. ahre,anorexia,0.95
anorexia,todo serÃ­a mas fÃ¡cil si no fuera gorda,anorexia,0.95
control,"snacks para llevar. lo mÃ¡s complicado, llevar las uvas sin que se te aplasten soluciÃ³n tupper o comerte el kiwi un cuchillo y una cuchara. y si no, el plÃ¡tano o la manzana, que vienen envueltos o un puÃ±ado de almendras al bolsillo.",control,0.050000000000000044
anorexia,comer hasta vomitar asu!!,anorexia,0.95
anorexia,"acabo de bajar una talla, bendito dios .",anorexia,0.95
control,"he decidido celebrar mi cumpleaÃ±os con temÃ¡tica palmeritas de chocolate y nada, que vuelvo a casa con casi 2kg que me voy a ir comiendo poco a poco para pasar el trago de maÃ±ana. del al realfat",anorexia,0.95
anorexia,una meta medio cumplida de pesar 55 ahora peso 47 en 3 semanas logre bajar aunque mi meta era pesar 45,anorexia,0.95
anorexia,gorda sinonimo de fracaso y asco!,anorexia,0.95
anorexia,meta nueva pesar 40 kilos,anorexia,0.95
control,Â¡a disfrutarla sergio! post regalo de crema de cacahuete de parte de .yubero paleo meriendasaludable regalosoriginales diet comersano,control,0.050000000000000044
anorexia,prinsqueserespeta le saca una foto a sus clavÃ­culas o costillas y twittea la foto posteando nomorecalories,anorexia,0.95
anorexia,mi autoestima esta por los suelos. y creo que esos comentarios negativos de mi mente no ayuda. alguien?,control,0.050000000000000044
control,cena homenaje porque yo lo valgo lowcarbdiet pescado adelgazar ing alimentacionsaludable,control,0.050000000000000044
control,"Â¿sabÃ­as que las almendras son ricas en calcio, fÃ³sforo y magnesio? minerales top para mantener una buena salud Ã³sea almendras solotienecosasbuenas snacksaludable",control,0.0010000000000000009
anorexia,"mi belleza no consiste en el fÃ­sico, si no en mi actitud... pero aun asÃ­, serÃ© hermosa",control,0.050000000000000044
anorexia,"hoy solo comi a las 1000am enfrijoladas, a las 400pm dos rebanadas de jamÃ³n de pavo y ahora mezcal y vino skinny",anorexia,0.95
control,"un dÃ­a de la semana tranquilo con uki.__ en .boedo . entrenamientofuncional powergirl funcionaltraining fuerza equilibrio resistencia en boedo, distrito",control,9.999999999998899e-05
anorexia,solo quiero hablar con alguien que me entienda...,control,0.050000000000000044
anorexia,deseo abrir mis ojos reflejarme y ver el cuerpo ese q deseo q siento m pertenece y lo he estropeado ayudame a retomarlo anorexia,anorexia,0.95
control,"os lo tomÃ¡is como si fuese estÃ©tico enseÃ±ar sÃ³lo huesos, las grasas son necesarias, aportan energÃ­a. 22",control,0.050000000000000044
control,sacrifica lo cotidiano y alcanza lo extraordinario... actor gymmotivation bodybuilder,control,0.050000000000000044
control,buenos dÃ­as stroongers Â¿sois de los que vais a trabajar en bici? estamos ya a jueves . . . . . stroong city cycling naturalboost formulalourdes bicing happy,control,0.050000000000000044
anorexia,sufro todos los dias. pero amo la vida. alguien entiende eso? .solo quiero vivir feliz. depresion anorexia,anorexia,0.95
anorexia,dormir para no comer. nites! proana anorexia,anorexia,0.95
control,asÃ­ de hermosas se ven las berzas en el huertoecologico de ahortadolameiro creciendo cada dÃ­a mas hojas deliciosas para hacer el cocidogallego ecohuerto ecoagricultura agricultura agriculturaecologica agriculturasostenible comifareal fundandomiempresa en arrabaldo santa cruz de arrabaldo,control,0.0
anorexia,"un mundo en crisis y en guerra y, a veces, parece que nuestro Ãºnico miedo es engordar.... anorexia bulimia",anorexia,0.95
anorexia,"si ana me va a llevar a ser una princesa , no me importa lo que tenga que dejar por ello. anorexia beautybody pricelesssurprises",anorexia,0.95
anorexia,"si voy a morir, espero morir delgada. perfeccion tengoundeseoyes",anorexia,0.95
anorexia,tomÃ¡ndome fotos alado de mi vÃ³mito y de mis pastillas para ponerla en el altar de,anorexia,0.95
anorexia,piensa antes de comer piensa como te sentirÃ¡s despuÃ©s,control,0.050000000000000044
control,buenas frutas es el nuevo buenas tardes. realfooding,control,0.050000000000000044
anorexia,nunca llegarÃ© a mi peso de nacimiento.,anorexia,0.95
anorexia,asÃ­ como cuando tu faja es tu mejor aliado dietasinlimites dietafitness dietaeterna dietavegana dietafit dietasaludable gymelmolino perderpeso dietas,control,0.050000000000000044
control,bajardepeso quÃ© es y para quÃ© sirve la prueba de hemoglobina glicosilada,control,0.050000000000000044
anorexia,"tip antes de caminar o hacer algÃºn ejercicio, toma una taza de tÃ© verde. asi conseguÃ­s que se queme grasa con mayor celeridad.",control,0.050000000000000044
anorexia,cÃ³mo hago para cortarme media panza fuck,anorexia,0.95
anorexia,"en vez de poner pretextos, ponte a pensar realmente lo que deseas. . . el que quiere puede. proana",anorexia,0.95
anorexia,help perdi mi objetivo morire subi paresco cerda .,anorexia,0.95
anorexia,si e de morir... morirÃ© delgada.,anorexia,0.95
anorexia,pequeÃ±a dieta dÃ­a 1 desayuno tÃ© y 1 manzana. almuerzo sopa. cena tÃ© o sopa. dÃ­a 2 desayuno cafÃ©. almuerzo 2 manzanas. cena yogurt ligth. dÃ­a 3 desayuno yogurt ligth y 1 manzana. almuerzo ensalada verde. cena tÃ© o sopa.,anorexia,0.95
anorexia,y luego se preguntan porque estamos enfermas y no comemos . alguien deme un vomitivo ahora proana,anorexia,0.95
control,"no dejes pasar el postre! no renuncies a la parte mÃ¡s dulce de la comida! los nuestros, caseros y 100 naturales! prueba nuestras tartas! slowfood healthy menu gourmet hamburguesa postres caseros tartas",control,0.050000000000000044
control,cerdo agridulce con piÃ±a. otro de mis favoritos. sweet and sour pork with pineapple. . . cerdo pork piÃ±a pinnaple comidachina chinesefood comidacasera homefood,control,0.050000000000000044
control,"bajardepeso gofres fitness de chocolate, manzana y avena receta saludable sin azÃºcar",control,0.050000000000000044
control,las excusas no queman calorÃ­as tdefitness fit hiit providencia peÃ±alolen Ã±uÃ±oa felizsabado felizfindesemana tde,control,0.0010000000000000009
control,yo dÃ¡ndole consejos de a mi madre creyÃ©ndome,control,0.050000000000000044
control,"hoy es un dÃ­a precioso para empezar a entrenar, trabajar, descansar o relajarte de todo. disfruta el finde como quieras pero siempre en movimiento runner gym felizsÃ¡bado felizfinde",control,0.050000000000000044
control,es una estupidez monumental eso de ... y todavÃ­a se hacen llamar princesas las pendejas que caen en eso...,anorexia,0.95
control,8 usos del pepino para la belleza y la salud carla diaz adelgazar bajardepeso quemargrasa remedioscaseros remediosnaturales gym ejercicio,control,0.050000000000000044
anorexia,"la puta madre quiero morirme subÃ­ un kilo, ahora pero 64 que alguien me de un tiro en la cabeza. rexybill",anorexia,0.95
control,"no son papas fritas! costillar de cerdo al horno, zapallos italianoszucchini horneados y salteados y en saldada de tomates con cebolla morada aka ensalada a la chilena keto lchf lowcarb",control,0.0010000000000000009
anorexia,"me ponga lo que me ponga, lo gorda no se me disimula nunca ana mia anorexia bulimia proana promia ed tca",anorexia,0.95
anorexia,nuevo aÃ±o nuevas metas llegar a 45k,control,0.050000000000000044
anorexia,en menos de un mes me voy de vacaciones a la playa. odio no poder verme asÃ­... algun dÃ­a.,anorexia,0.85
control,"el ejercicio fÃ­sico se ha convertido en la vitamina mÃ¡s eficaz y en el medicamento mÃ¡s barato, ya que previene, trata y rehabilita las enfermedades. conoce quÃ© puede hacer por tu salud y para mejorar tu calidad de vida. bienestar",control,0.050000000000000044
anorexia,vivir con tus padres y que te obliguen a comer... proana promia bulimia anorexia anorexic bulimicgirl anorexiaeetclub tca bulimic ed,anorexia,0.95
control,a los que ponen en fotos depresivo suicide suicidegirl a ver si de una ostia se os quita la tonterÃ­a,anorexia,0.95
control,"comer bien es cuestiÃ³n de prioridades. Â¿cocinas o calientas? si no cuidas lo que comes luego no te quejes si engordas.. es lo que necesitas, pero actualmente el",control,0.050000000000000044
anorexia,dÃ­a 13 de ayuno y hoy si que los mareos han hecho estragos en mÃ­. rexybill,anorexia,0.95
control,Ãºltimo dÃ­a de la semana en el gym con mucha fuerza y Ã¡nimo para librar todas las tempestades y lograr una bonita sonrisa motivacion motivation sonrisa smile vidasana vidasaludable,control,0.050000000000000044
control,20 min de rutina de selife en el gym done ahora a desbloquear al dragoon gymlife inked,control,0.050000000000000044
anorexia,piensa antes de comer. no comas cuando te distraes ver tv think before you eat. dont eat while distracted watch tv anatips,control,0.050000000000000044
control,"buenas tardes amig, dime que tienes que hacer esta tarde mejor que practicar jueves entrenamiento sinexcusas fit gym gimnasio benidorm personaltrainer",control,0.0010000000000000009
control,5 cosas que debes saber antes de empezar a levantar pesas,control,0.050000000000000044
anorexia,ninguna de ellas te define.,control,0.050000000000000044
control,tardes de cocina. galletas de avena y plÃ¡tano con chocolate y pan de centeno integral receta de la cocina es terapÃ©utica y una vez que te sumas a la comida sana no hay vuelta atrÃ¡s,control,0.050000000000000044
control,momento relax despuÃ©s del servicio... hoy dÃ­a tambiÃ©n de cosas interesantes y queda mÃ¡s de medio dÃ­a aÃºn...!!! cocina cooking amigos smile,control,0.050000000000000044
anorexia,"when mides 1,71 pesas 64 kilos y tienes que perder casi 20 tablaanaymia bulimic anorexic 46kg wecandoit",anorexia,0.95
anorexia,nuncaestardepara volver a empezar el ayuno coldprince proana promia thinspiration,anorexia,0.95
control,"hoy os proponemos este rico arroz con coco y curry. es sorprendente lo bien que combina el coco, con el curry y el dulzor de las pasas, Â¡toda una explosiÃ³n de sabores! nutricion ing foodporn felizmiÃ©rcoles receta",control,0.050000000000000044
anorexia,"princesas, mastiquen papel. tiene propiedades adelgazantes. y mucho mejor si es una hoja blanca, ya que es pura. prins tips.",control,0.050000000000000044
control,"buen puente gente guapa, con mi cena esqueixada para tres me despido hasta el lunes. tened cuidado ahÃ­ afuera lowcarbdiet alimentacionsaludable adelgazar",control,0.050000000000000044
anorexia,"mis thinspo de hoy, a ver si puedo evitar la comida estÃ¡ vez ana mia anorexia proana promia",anorexia,0.95
control,"y para los mÃ¡s peques de la casa, powercocktail junior!!! a partir del aÃ±o. llena a tu peque de nutrientes y energÃ­a! pregÃºntame! vivesaludable pesas cuidatusalud",control,0.050000000000000044
anorexia,traigo un putero de hambre pero me estoy castigando porque ayer traguÃ© chingos de pizza y chocolates,anorexia,0.95
control,"no estaba segura de ponerlo, me parecÃ­a muy pero... estoy cayendo en que lleva 2 huevazos y un poco de... Â¡chorizo del pueblo! sobrante del puchero. asÃ­ que mil perdones, sin duda es otra elaboraciÃ³n falsefooders",anorexia,0.85
control,"desayuno de dÃ­a lluvioso , tostadas de pan de centeno integral con nutellacasera, platano y canela, acompaÃ±ado de kakis, manzanas al microondas con canela y un te matcha . . sugarfree sinazucar breakfast nutellafit i",control,0.050000000000000044
control,"solo el trabajo, la entrega y la dedicaciÃ³n traen resultados positivos. hay que dejar de soÃ±ar y actuar. entrenamiento pesas gimnasio fit gym enforma deporte workout",control,0.050000000000000044
control,Â¡menos pastilla y mÃ¡s zapatilla! running sport gym healthylifestyle,control,0.050000000000000044
control,sÃ¡bado 16 marzo 2019. xii torneo boxeo amateur. dra. josefina gÃ³mez haciendo alarde de su gran talento y apego a nuestra mÃºsica criolla. boxeo deporte entrenamiento training,control,9.999999999998899e-05
anorexia,some thinspo my bebs thinspo anaandmia,anorexia,0.95
anorexia,que valor loco la minita pesa 85kg y es re feliz... yo no puedo mostrar ni los brazos...,anorexia,0.95
anorexia,lo q mas extraÃ±o d ser normal es esa alegria al ver los postres y realizar alguna comida en familia pero eso ya acabo para mi tnx,control,0.050000000000000044
anorexia,"quinto dÃ­a de ayuno completo, se me esta complicando pero no me detendrÃ© hasta estar conforme con mi peso. rexybill",anorexia,0.95
control,"el kÃ©fir de leche es uno de los mejores probiÃ³ticos que existen, y cuando hace 15 meses que has dejado el azÃºcar es todo un manjar . dietasinprocesados enforma nutricion salud rendimiento noprocesados comida diabetes cuidate desayunossaludables",control,0.050000000000000044
anorexia,thinspo y las inspiraciones que encontramos en internet fomentando la extrema delgadez anorexia bulimia,anorexia,0.95
anorexia,esa hermosa sensaciÃ³n de sentir holgada la ropa,control,0.050000000000000044
anorexia,"no me dejan publicar mucho pero siempre consigo como hacerlo, me siento dÃ©bil y hambrienta pero me encantan esos sentimientos",anorexia,0.95
control,no sÃ© quÃ© hacer con tanto dinero like colombia bogota boy,control,0.0010000000000000009
control,Â¿quÃ© comer antes y despuÃ©s de salir a correr? marianymata,control,0.050000000000000044
control,mi comida de hoy tallarines de calabacÃ­n y zanahoria con tacos de salmÃ³n...no sÃ© si aguantarÃ© hasta la hora de comer ricorico sinfiltros hÃ¡bitossaludables,anorexia,0.95
control,"en nuestros desayunos buffet, tambiÃ©n encontrarÃ¡s opciones saludables como huevos, yogurt, leches especiales o sin lactosa, fruta fresca y galletas sin gluten. elige alojamiento desayuno en tu reserva desde nuestra web o contrÃ¡talo en recepciÃ³n. ibiza hostaltarba",control,0.0
control,q hijos de puta!!! multifrutas,control,0.050000000000000044
anorexia,que te den ganas de cagar y vomitar al mismo tiempo... tu que eliges primero? bulimiaproblems promia,anorexia,0.95
control,"a alguien mas le pasa de tener hambre de compota de manzana??? me antoje, q rico!!",control,0.050000000000000044
control,"en nuestra carta encontrarÃ©is comida tradicional, con productos de primera calidad Â¡deliciosas nuestras croquetas!",control,0.050000000000000044
control,bajardepeso la importancia de controlar tu glucosa en sangre y los alimentos que te ayudan a conseguirlo,control,0.050000000000000044
anorexia,me dan consejos para ser mejor ana porfavor anorexia princesas,anorexia,0.95
anorexia,tal vez maÃ±ana me compre un balanza le preste plata a alguien y por eso no podia comprarla la voy a amar tanto como a los mangas,control,0.050000000000000044
control,si es q tengo un peligro al entrar en la librerÃ­a... invertid en conocimiento y en salud gracias infinitas a x regalarme el primero! realfooder eatrealfood,control,0.050000000000000044
control,hoy para comer garbanzos cocidos con con un poco de aceite de oliva virgen pasado por unos ajitos hechos a la sartÃ©n y una lata de atÃºn comidasalulable,control,0.050000000000000044
anorexia,"soy nuevo en esto y con nueva cuenta, solo he ayunado 2 dÃ­as como mÃ¡ximo, pienso lograr 10 dÃ­as o mÃ¡s. rexybill",anorexia,0.95
anorexia,"necesito, quiero perder peso y lo no importan las consecuencias de tener el cuerpo perfecto. anorexia bulimia",anorexia,0.95
anorexia,gorda como estilo de vida bulimia bulimicgirl anorexia tca,anorexia,0.95
control,"glutamine powder de optimunnutrition a base de lglutamina pura, un aminoÃ¡cido muy importante en el desarrollo y recuperaciÃ³n muscular. uso mezclar 1 cuchara con 240 ml de agua o bebida favorita. gym fit sport feliz lunes ufc fight on glutamine powder",control,0.050000000000000044
control,"adrenalina, la energÃ­a que activa. . visita y conoce su nueva linea, para entrenar y lucir en cualquier ocasiÃ³n. . . . adrenalinafit adrenalinafitvzla deporte sport zumba anzoategui anz vzla sport sportwear caracas va",control,0.050000000000000044
anorexia,"lo Ãºnico bueno de mi dia fue comer, baÃ±arme y vomitar absolutamente todo, fue hermoso volver a vomitar como siempre para siempre",anorexia,0.95
anorexia,"mi cuerpo y mi alma estÃ¡n cansados de ser lastimados, no aguanto esta vida de mierda que me toco. rexybill fucklife",anorexia,0.95
control,"cuando empiezas la dieta, y tienes 10 kilos arriba",anorexia,0.95
anorexia,"el cereal me lleno, y eso me da mucho asco, y encima me di cuenta de que no como por hambre, sino que como porque mÃ­ cuerpo ya se acostumbro a comer x comer y no por hambre ana mia anorexia bulimia proana promia ed",anorexia,0.95
control,vaya salvaje. deberÃ­a comer mandarinas,control,0.050000000000000044
anorexia,"no recuerdo el dÃ­a en que todo comezo, pero se que desde ese dÃ­a mi vida cambio para siempre ana mia staystrong helpme please",anorexia,0.95
anorexia,un cuerpo delgado eso me falta l,anorexia,0.95
anorexia,"si lo puedes imaginar, lo puedes lograr.",control,0.050000000000000044
anorexia,mis cicatrices son pruebas de que aun sigo luchando contra demonios que estan tratando de matarme,anorexia,0.95
anorexia,nose pero... cada dÃ­a siento que no lo lograre no voy a lograr nunca estar asÃ­ nunca depremida,anorexia,0.85
anorexia,"no como desde anoche, espero haber perdido 20 kilos en estas horas. esto va asÃ­, no?",anorexia,0.95
control,ayer se celebrÃ³ el diamundialdelaalimentacion por lo que esta semana en nuestro blog hemos querido compartir algunos consejos para llevar una alimentaciÃ³n saludable. Â¡no te lo pierdas! alimentacion alimentacionsaludable salud vivirmejor,control,0.050000000000000044
control,hoy nos unimos al dÃ­ainternacionaldelostca con porlaboca de en el tca trastornosalimenticios,anorexia,0.8
anorexia,voy a comprar una rebanada de pastel y unos tacos para despuÃ©s vomitarlos porque keiko ballena,anorexia,0.95
anorexia,nosÃ© que me puede mÃ¡s las ganas de morir o de bajar de peso ana mia anorexia proana promia suicida,anorexia,0.95
anorexia,debes vivir de tal manera q cada dia sea un buen dia para morir ... xq lo jas hecho todo y no queda d deuda nada to suicidegirls,anorexia,0.95
anorexia,"para mÃ­ las vacaciones son un infierno, estoy sola, mi familia me vigila para que coma, pero yo escondo la comida y vomito",anorexia,0.95
control,entrenar para el maratÃ³n de boston,control,0.050000000000000044
anorexia,"un dÃ­a mÃ¡s un dÃ­a menos todo esfuerzo tendrÃ¡ su recompenza , pasar hambre es el Ãºnico dolor que vale la pena !! nomerindonoteat",anorexia,0.95
anorexia,cada vez que voy a conseguirlo la cago proana proanadiets promia bulimia bulimianervosa bulimic bulimicgirl anorexia anorexic anorexiaeetclub anorexiarecovery tca eatingdisorder gorda,anorexia,0.95
control,"champiÃ±ones, gambitas, arroz y salsa de soja plantbased ing",control,0.050000000000000044
control,. y con la esperanza y las ganas ser libre siempre por delante . . . plogging mtb landscape mountainbike trekking instatraveling,control,0.0
anorexia,"blog como son los que todas deberÃ­amos de seguir, no la mierda que lo Ãºnico que promueve es negativo y destructivo.",control,0.050000000000000044
